probe,logFC,AveExpr,t,P.Value,adj.P.Val,B,gds,type
1552722_at,-0.548268007179844,2.26487039092748,-9.58954174508009,2.22626983981565e-12,1.21721303491921e-07,17.8690503214746,GDS5204,lo
205626_s_at,-0.492673361847928,2.62339665804918,-9.20073474442604,7.64603531376097e-12,1.59485424198939e-07,16.7091955349122,GDS5204,lo
241672_at,-0.409991015488832,2.44576093945357,-9.14024254504066,9.27902064809136e-12,1.59485424198939e-07,16.5269218065009,GDS5204,lo
213325_at,-0.338403002652871,2.42308079546637,-9.06882080760428,1.16678865440468e-11,1.59485424198939e-07,16.3110992755054,GDS5204,lo
205625_s_at,-0.465905946894746,2.69351363813722,-8.79319100978337,2.83977606413202e-11,3.08831247793028e-07,15.4720748589664,GDS5204,lo
220030_at,-0.356071601720079,2.15436718036131,-8.73869944599661,3.38909462598659e-11,3.08831247793028e-07,15.305075531605,GDS5204,lo
210675_s_at,-0.193353312709382,2.54754480838948,-8.49721752365444,7.44854664493478e-11,5.81784696874013e-07,14.5607036032181,GDS5204,lo
213219_at,-0.224598015517128,2.71630953423094,-8.16638291602449,2.21183046258067e-10,1.51164788176998e-06,13.5300468757709,GDS5204,lo
242825_at,-0.13853615833592,2.38234410178105,-8.05795339384532,3.16701259481034e-10,1.76039808159983e-06,13.189693296532,GDS5204,lo
1553864_at,-0.418029246233553,2.44453956037463,-8.05297263079775,3.21974957768602e-10,1.76039808159983e-06,13.174030072366,GDS5204,lo
232275_s_at,-0.418078615261046,2.43393952656217,-7.98839205489763,3.98936901853572e-10,1.98289773716764e-06,12.9707157058251,GDS5204,lo
220359_s_at,-0.163073067457946,3.12060822145786,-7.89805113837252,5.38738451354065e-10,2.45462706898196e-06,12.6856153987523,GDS5204,lo
221696_s_at,-0.191109546529874,2.31982667521612,-7.85695135253655,6.17780819792984e-10,2.59824356324472e-06,12.555653627746,GDS5204,lo
216307_at,-0.304739525053083,2.536625020882,-7.82934111238784,6.77345460173215e-10,2.64527593106932e-06,12.4682586741259,GDS5204,lo
234024_at,-0.352851023126142,2.64600707779891,-7.76036349052498,8.52700581586114e-10,2.86190247289959e-06,12.249618765251,GDS5204,lo
1557180_at,-0.504829294841882,2.28953561568913,-7.75522436954269,8.67466075891103e-10,2.86190247289959e-06,12.2333120555082,GDS5204,lo
232027_at,-0.212779152197917,2.74197915292205,-7.74036223088647,9.11632545237306e-10,2.86190247289959e-06,12.186140513248,GDS5204,lo
208121_s_at,-0.232650936222332,2.58032418689481,-7.73049796443499,9.42190114534845e-10,2.86190247289959e-06,12.1548211674401,GDS5204,lo
222774_s_at,-0.292511291588027,2.42816863585927,-7.67974933543634,1.11649067530319e-09,3.21284882485272e-06,11.993558870183,GDS5204,lo
208092_s_at,-0.219557575118025,2.74759663672583,-7.56861300830835,1.62024084268145e-09,4.38066782373341e-06,11.6396453478647,GDS5204,lo
214553_s_at,-0.206376919000875,3.17419522910738,-7.54715923042416,1.7411778564849e-09,4.38066782373341e-06,11.5712098967652,GDS5204,lo
235591_at,-0.327677259427109,2.48893846786066,-7.51897755670407,1.91395615109394e-09,4.38066782373341e-06,11.4812579379509,GDS5204,lo
220889_s_at,-0.289581584143222,2.75489914370018,-7.5060306942184,1.99901660149102e-09,4.38066782373341e-06,11.4399126361456,GDS5204,lo
200641_s_at,-0.168158376030434,3.32618317719877,-7.50368456343938,2.01483282339554e-09,4.38066782373341e-06,11.4324189750901,GDS5204,lo
218888_s_at,-0.252726122530763,2.6843530777401,-7.50302311566097,2.01931461827313e-09,4.38066782373341e-06,11.4303062007871,GDS5204,lo
218866_s_at,-0.129429031171346,2.657220975269,-7.4937560349174,2.0831707986661e-09,4.38066782373341e-06,11.4007020760145,GDS5204,lo
216048_s_at,0.247974491494947,2.50163046507322,7.48006663854649,2.18123571846484e-09,4.41700232989131e-06,11.3569586745789,GDS5204,up
223550_s_at,-0.200448629113681,2.86348277580097,-7.44854859664132,2.42504134373519e-09,4.57100713985478e-06,11.2561915602829,GDS5204,lo
242688_at,0.181476671239047,2.01534020638031,7.43294469523317,2.55570871552533e-09,4.57100713985478e-06,11.206276632115,GDS5204,up
210278_s_at,-0.266091035460631,2.27012867382939,-7.43209463864887,2.56302714003457e-09,4.57100713985478e-06,11.2035568938333,GDS5204,lo
235935_at,-0.181677912949431,2.62776672781144,-7.42878750439703,2.59170043594875e-09,4.57100713985478e-06,11.1929752843834,GDS5204,lo
236705_at,-0.335747316824247,2.15254121556465,-7.38203448395179,3.03334197124413e-09,5.06853276973758e-06,11.0432983732645,GDS5204,lo
215207_x_at,-0.156114874928591,2.18878701407662,-7.37951380850594,3.0591967334493e-09,5.06853276973758e-06,11.0352241602423,GDS5204,lo
206577_at,-0.379021875751852,2.38331300843168,-7.34655852980298,3.41833080291199e-09,5.36278235655564e-06,10.9296212010628,GDS5204,lo
1554633_a_at,-0.509934806370123,2.47089693017042,-7.34529056671872,3.43296538599812e-09,5.36278235655564e-06,10.9255565992639,GDS5204,lo
218623_at,-0.12845799922871,3.19089209921769,-7.32788864508785,3.64029729862696e-09,5.52870152228969e-06,10.8697616566546,GDS5204,lo
205899_at,-0.145981660527042,2.43848180340339,-7.27064411517729,4.41537504759521e-09,6.52461164127752e-06,10.6860785862698,GDS5204,lo
1555487_a_at,-0.18504326876121,2.78472573743408,-7.24665843466133,4.7875913555048e-09,6.80678433011954e-06,10.6090514027069,GDS5204,lo
229080_at,-0.138299526627767,2.53643026407034,-7.2424963136881,4.85531941243095e-09,6.80678433011954e-06,10.5956815330463,GDS5204,lo
1560692_at,-0.279309159891251,2.20630718864161,-7.23390817852957,4.99812807134135e-09,6.83181630751471e-06,10.5680906684128,GDS5204,lo
243556_at,-0.380882262835027,2.61873030728897,-7.22411763814136,5.16608703996497e-09,6.84714251362639e-06,10.5366312754332,GDS5204,lo
242372_s_at,-0.27652546635741,2.7085795726627,-7.21879264656521,5.25980769222329e-09,6.84714251362639e-06,10.5195182954136,GDS5204,lo
